2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | CUDA Version 12.4.1\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | \n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | ==========\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | == CUDA ==\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | ==========\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | \n
2026-01-27  16:53:52.649 | error | 4p1sozwpapfp2k | worker exited with exit code 1
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k | RuntimeError: Data processing error: CAS service error : IO Error: No space left on device (os error 28)\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |     download_files(\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/file_download.py", line 588, in xet_get\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |     xet_get(\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/file_download.py", line 1864, in _download_to_tmp_and_move\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |     _download_to_tmp_and_move(\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/file_download.py", line 1240, in _hf_hub_download_to_cache_dir\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |     return _hf_hub_download_to_cache_dir(\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/file_download.py", line 1024, in hf_hub_download\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |     return fn(*args, **kwargs)\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/utils/_validators.py", line 89, in _inner_fn\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |     hf_hub_download(  # type: ignore\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/_snapshot_download.py", line 429, in _inner_hf_hub_download\n
2026-01-27  16:53:40.931 | info | 4p1sozwpapfp2k |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
